,Country,Capital,Latitude,Longitude
160,Sao Tome and Principe,Sao Tome,00¡10'N,06¡39'E
161,Saudi Arabia,Riyadh,24¡41'N,46¡42'E
162,Senegal,Dakar,14¡34'N,17¡29'W
163,Sierra Leone,Freetown,08¡30'N,13¡17'W
164,Slovakia,Bratislava,48¡10'N,17¡07'E
165,Slovenia,Ljubljana,46¡04'N,14¡33'E
166,Solomon Islands,Honiara,09¡27'S,159¡57'E
167,Somalia,Mogadishu,02¡02'N,45¡25'E
168,South Africa,Pretoria (adm.) / Cap Town (Legislative) / Bloemfontein (Judicial),25¡44'S,28¡12'E
169,Spain,Madrid,40¡25'N,03¡45'W
170,Sudan,Khartoum,15¡31'N,32¡35'E
171,Suriname,Paramaribo,05¡50'N,55¡10'W
172,Swaziland,Mbabane (Adm.),26¡18'S,31¡06'E
173,Sweden,Stockholm,59¡20'N,18¡03'E
174,Switzerland,Bern,46¡57'N,07¡28'E
175,Syrian Arab Republic,Damascus,33¡30'N,36¡18'E
176,Tajikistan,Dushanbe,38¡33'N,68¡48'E
177,Thailand,Bangkok,13¡45'N,100¡35'E
178,The Former Yugoslav Republic of Macedonia,Skopje,42¡01'N,21¡26'E
179,Togo,Lome,06¡09'N,01¡20'E
180,Tonga,Nuku'alofa,21¡10'S,174¡00'W
181,Tunisia,Tunis,36¡50'N,10¡11'E
182,Turkey,Ankara,39¡57'N,32¡54'E
183,Turkmenistan,Ashgabat,38¡00'N,57¡50'E
184,Tuvalu,Funafuti,08¡31'S,179¡13'E
185,Uganda,Kampala,00¡20'N,32¡30'E
186,Ukraine,Kiev (Rus),50¡30'N,30¡28'E
187,United Arab Emirates,Abu Dhabi,24¡28'N,54¡22'E
188,United Kingdom of Great Britain and Northern Ireland,London,51¡36'N,00¡05'W
189,United Republic of Tanzania,Dodoma,06¡08'S,35¡45'E
190,United States of America,Washington DC,39¡91'N,77¡02'W
191,United States of Virgin Islands,Charlotte Amalie,18¡21'N,64¡56'W
192,Uruguay,Montevideo,34¡50'S,56¡11'W
193,Uzbekistan,Tashkent,41¡20'N,69¡10'E
194,Vanuatu,Port-Vila,17¡45'S,168¡18'E
195,Venezuela,Caracas,10¡30'N,66¡55'W
196,Viet Nam,Hanoi,21¡05'N,105¡55'E
197,Yugoslavia,Belgrade,44¡50'N,20¡37'E
198,Zambia,Lusaka,15¡28'S,28¡16'E
199,Zimbabwe,Harare,17¡43'S,31¡02'E
